entry	compatibility_requirement	evidence_source	extension_constraint	validation_method	classification	safe_boundary_rule
0166	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	Extensions must preserve this CP/M-visible observation	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0167	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	Extensions must preserve this CP/M-visible observation	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0168	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	Extensions must preserve this CP/M-visible observation	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0169	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	Extensions must preserve this CP/M-visible observation	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0170	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	Extensions must preserve this CP/M-visible observation	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0171	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	Extensions must preserve this CP/M-visible observation	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0172	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	Extensions must preserve this CP/M-visible observation	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0173	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	Extensions must preserve this CP/M-visible observation	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0174	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	Extensions must preserve this CP/M-visible observation	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0175	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	Extensions must preserve this CP/M-visible observation	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0176	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	Extensions must preserve this CP/M-visible observation	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0177	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	Extensions must preserve this CP/M-visible observation	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0178	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	Extensions must preserve this CP/M-visible observation	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0179	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	Extensions must preserve this CP/M-visible observation	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0180	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	Extensions must preserve this CP/M-visible observation	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0181	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	Extensions must preserve this CP/M-visible observation	BDOS-FILE-001,BDOS-FILE-002	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0182	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	Extension may vary this result within the ledger boundary	BDOS-FILE-001,BDOS-FILE-002	NOT GUARANTEED	Do not turn one extension/provider result into a CP/M baseline promise
0183	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	Extension must not silently choose or expose this unresolved behavior	BDOS-FILE-001,BDOS-FILE-002	POLICY PENDING	Require named opt-in/profile and activate its tests before claiming compatibility
0184	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	No CP/M requirement to reproduce this private/incidental mechanism	BDOS-FILE-001,BDOS-FILE-002	NOT REQUIRED	Extension/internal implementation may differ; keep private details outside CP/M acceptance criteria
0185	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	No CP/M requirement to reproduce this private/incidental mechanism	BDOS-FILE-001,BDOS-FILE-002	NOT REQUIRED	Extension/internal implementation may differ; keep private details outside CP/M acceptance criteria
0186	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics; I052 BDOS-FILE-001,BDOS-FILE-002	No CP/M requirement to reproduce this private/incidental mechanism	BDOS-FILE-001,BDOS-FILE-002	NOT REQUIRED	Extension/internal implementation may differ; keep private details outside CP/M acceptance criteria
0187	Investigation 008 finding	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	No CP/M requirement to reproduce this private/incidental mechanism	BDOS-FILE-003,BDOS-STATE-003	NOT REQUIRED	Extension/internal implementation may differ; keep private details outside CP/M acceptance criteria
0188	Search First call convention	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	Extensions must preserve this CP/M-visible observation	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0189	Search First initial directory scan position	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	Extensions must preserve this CP/M-visible observation	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0190	Search First successful result code	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	Extensions must preserve this CP/M-visible observation	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0191	Search First unsuccessful result code	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	Extensions must preserve this CP/M-visible observation	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0192	Search First DMA record transfer	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	Extensions must preserve this CP/M-visible observation	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0193	Search result entry offset	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	Extensions must preserve this CP/M-visible observation	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0194	Search transfer record layout	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	Extensions must preserve this CP/M-visible observation	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0195	Directory entry user number	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	Extensions must preserve this CP/M-visible observation	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0196	Directory entry FCB field layout	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	Extensions must preserve this CP/M-visible observation	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0197	Search wildcard matching	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	Extensions must preserve this CP/M-visible observation	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0198	Type attribute comparison	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	Extensions must preserve this CP/M-visible observation	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0199	Default-drive FCB search	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	Extensions must preserve this CP/M-visible observation	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0200	Explicit-drive search	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	Extensions must preserve this CP/M-visible observation	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0201	Search First S2 handling	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	Extensions must preserve this CP/M-visible observation	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0202	All-user search wildcard drive	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	Extensions must preserve this CP/M-visible observation	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0203	Search Next call convention	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	Extensions must preserve this CP/M-visible observation	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0204	Search Next continuation semantics	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	Extensions must preserve this CP/M-visible observation	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0205	Search Next result and DMA relationship	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	Extensions must preserve this CP/M-visible observation	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0206	Search Next unsuccessful result code	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	Extensions must preserve this CP/M-visible observation	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0207	Search First restart behavior	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	Extensions must preserve this CP/M-visible observation	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0208	Set DMA Address call convention	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	Extensions must preserve this CP/M-visible observation	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0209	DMA address persistence	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	Extensions must preserve this CP/M-visible observation	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0210	DMA change during search continuation	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	Extensions must preserve this CP/M-visible observation	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0211	Directory enumeration order	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	Extensions must preserve this CP/M-visible observation	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0212	Repeat-search ordering stability	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	Extensions must preserve this CP/M-visible observation	BDOS-FILE-003,BDOS-STATE-003	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0213	Enumeration ordering guarantee limitation	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	Extension may vary this result within the ledger boundary	BDOS-FILE-003,BDOS-STATE-003	NOT GUARANTEED	Do not turn one extension/provider result into a CP/M baseline promise
0214	Default-drive continuation limitation	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	Extension may vary this result within the ledger boundary	BDOS-FILE-003,BDOS-STATE-003	NOT GUARANTEED	Do not turn one extension/provider result into a CP/M baseline promise
0215	Search continuation state limitation	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	Extension may vary this result within the ledger boundary	BDOS-FILE-003,BDOS-STATE-003	NOT GUARANTEED	Do not turn one extension/provider result into a CP/M baseline promise
0216	Failed-search DMA contents	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	Extension may vary this result within the ledger boundary	BDOS-FILE-003,BDOS-STATE-003	NOT GUARANTEED	Do not turn one extension/provider result into a CP/M baseline promise
0217	DRI FFh-path directory copy	009 - CP/M 2.2 BDOS Directory Search and DMA Transfer Semantics; I052 BDOS-FILE-003,BDOS-STATE-003	No CP/M requirement to reproduce this private/incidental mechanism	BDOS-FILE-003,BDOS-STATE-003	NOT REQUIRED	Extension/internal implementation may differ; keep private details outside CP/M acceptance criteria
0218	DRI private search implementation	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	No CP/M requirement to reproduce this private/incidental mechanism	BDOS-FILE-004	NOT REQUIRED	Extension/internal implementation may differ; keep private details outside CP/M acceptance criteria
0219	Function 20 call convention	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	Extensions must preserve this CP/M-visible observation	BDOS-FILE-004	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0220	Activated-FCB precondition	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	Extensions must preserve this CP/M-visible observation	BDOS-FILE-004	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0221	Sequential position source	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	Extensions must preserve this CP/M-visible observation	BDOS-FILE-004	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0222	Successful result	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	Extensions must preserve this CP/M-visible observation	BDOS-FILE-004	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0223	Successful transfer size	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	Extensions must preserve this CP/M-visible observation	BDOS-FILE-004	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0224	Current DMA destination	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	Extensions must preserve this CP/M-visible observation	BDOS-FILE-004	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0225	Partial-byte count	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	Extension may vary this result within the ledger boundary	BDOS-FILE-004	NOT GUARANTEED	Do not turn one extension/provider result into a CP/M baseline promise
0226	Advance after success	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	Extensions must preserve this CP/M-visible observation	BDOS-FILE-004	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0227	CR progression within an extent	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	Extensions must preserve this CP/M-visible observation	BDOS-FILE-004	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0228	Full-extent position	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	Extensions must preserve this CP/M-visible observation	BDOS-FILE-004	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0229	Automatic extent transition	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	Extensions must preserve this CP/M-visible observation	BDOS-FILE-004	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0230	New-extent first-record state	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	Extensions must preserve this CP/M-visible observation	BDOS-FILE-004	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0231	Extent working-state replacement	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	Extensions must preserve this CP/M-visible observation	BDOS-FILE-004	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0232	EOF/no-data result	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	Extensions must preserve this CP/M-visible observation	BDOS-FILE-004	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0233	Exact EOF code	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	Extension must not silently choose or expose this unresolved behavior	BDOS-FILE-004	POLICY PENDING	Require named opt-in/profile and activate its tests before claiming compatibility
0234	Empty-file behavior	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	Extensions must preserve this CP/M-visible observation	BDOS-FILE-004	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0235	Partial-final-extent EOF	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	Extensions must preserve this CP/M-visible observation	BDOS-FILE-004	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0236	Exact-boundary EOF	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	Extensions must preserve this CP/M-visible observation	BDOS-FILE-004	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0237	Repeated EOF indication	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	Extensions must preserve this CP/M-visible observation	BDOS-FILE-004	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0238	DMA contents after failure	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	Extension may vary this result within the ledger boundary	BDOS-FILE-004	NOT GUARANTEED	Do not turn one extension/provider result into a CP/M baseline promise
0239	FCB mutation	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	Extensions must preserve this CP/M-visible observation	BDOS-FILE-004	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0240	Exact FCB image after failed read	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	Extension may vary this result within the ledger boundary	BDOS-FILE-004	NOT GUARANTEED	Do not turn one extension/provider result into a CP/M baseline promise
0241	DRI exact-boundary EX drift	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	No CP/M requirement to reproduce this private/incidental mechanism	BDOS-FILE-004	NOT REQUIRED	Extension/internal implementation may differ; keep private details outside CP/M acceptance criteria
0242	Explicit-drive read	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	Extensions must preserve this CP/M-visible observation	BDOS-FILE-004	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0243	Read-only readability	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	Extensions must preserve this CP/M-visible observation	BDOS-FILE-004	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0244	Unopened-FCB result	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	Extension may vary this result within the ledger boundary	BDOS-FILE-004	NOT GUARANTEED	Do not turn one extension/provider result into a CP/M baseline promise
0245	Invalid-FCB result	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	Extension may vary this result within the ledger boundary	BDOS-FILE-004	NOT GUARANTEED	Do not turn one extension/provider result into a CP/M baseline promise
0246	Physical read-error presentation	010 - CP/M 2.2 BDOS Sequential Read Semantics; I052 BDOS-FILE-004	Extension must not silently choose or expose this unresolved behavior	BDOS-FILE-004	POLICY PENDING	Require named opt-in/profile and activate its tests before claiming compatibility
0247	DRI internal read machinery	011 - CP/M 2.2 BDOS Sequential Write and File Creation Semantics; I052 BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011	No CP/M requirement to reproduce this private/incidental mechanism	BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011	NOT REQUIRED	Extension/internal implementation may differ; keep private details outside CP/M acceptance criteria
0248	Function 22 convention	011 - CP/M 2.2 BDOS Sequential Write and File Creation Semantics; I052 BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011	Extensions must preserve this CP/M-visible observation	BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0249	Make uniqueness precondition	011 - CP/M 2.2 BDOS Sequential Write and File Creation Semantics; I052 BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011	Extensions must preserve this CP/M-visible observation	BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0250	New empty file	011 - CP/M 2.2 BDOS Sequential Write and File Creation Semantics; I052 BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011	Extensions must preserve this CP/M-visible observation	BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0251	Make activates FCB	011 - CP/M 2.2 BDOS Sequential Write and File Creation Semantics; I052 BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011	Extensions must preserve this CP/M-visible observation	BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0252	Make success result	011 - CP/M 2.2 BDOS Sequential Write and File Creation Semantics; I052 BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011	Extensions must preserve this CP/M-visible observation	BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0253	Make directory-full result	011 - CP/M 2.2 BDOS Sequential Write and File Creation Semantics; I052 BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011	Extensions must preserve this CP/M-visible observation	BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0254	Immediate empty-file visibility	011 - CP/M 2.2 BDOS Sequential Write and File Creation Semantics; I052 BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011	Extensions must preserve this CP/M-visible observation	BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0255	Data-full empty Make	011 - CP/M 2.2 BDOS Sequential Write and File Creation Semantics; I052 BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011	Extensions must preserve this CP/M-visible observation	BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0256	Make on existing name	011 - CP/M 2.2 BDOS Sequential Write and File Creation Semantics; I052 BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011	Extension may vary this result within the ledger boundary	BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011	NOT GUARANTEED	Do not turn one extension/provider result into a CP/M baseline promise
0257	Ambiguous Make name	011 - CP/M 2.2 BDOS Sequential Write and File Creation Semantics; I052 BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011	Extension may vary this result within the ledger boundary	BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011	NOT GUARANTEED	Do not turn one extension/provider result into a CP/M baseline promise
0258	Immediate data-block reservation	011 - CP/M 2.2 BDOS Sequential Write and File Creation Semantics; I052 BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011	No CP/M requirement to reproduce this private/incidental mechanism	BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011	NOT REQUIRED	Extension/internal implementation may differ; keep private details outside CP/M acceptance criteria
0259	Function 21 convention	011 - CP/M 2.2 BDOS Sequential Write and File Creation Semantics; I052 BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011	Extensions must preserve this CP/M-visible observation	BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0260	Write activation precondition	011 - CP/M 2.2 BDOS Sequential Write and File Creation Semantics; I052 BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011	Extensions must preserve this CP/M-visible observation	BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0261	Write source position	011 - CP/M 2.2 BDOS Sequential Write and File Creation Semantics; I052 BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011	Extensions must preserve this CP/M-visible observation	BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
0262	Successful write result	011 - CP/M 2.2 BDOS Sequential Write and File Creation Semantics; I052 BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011	Extensions must preserve this CP/M-visible observation	BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011	REQUIRED	May change or delegate mechanism only with observational equivalence in the declared CP/M personality
